"importo","riduzione","cap","nabb0512","nvisit13","nvisite0512","eta13","churn"
44,"ABBONAMENTI MUSEI TORINO","10122",4,2,13,45,"0"
44,"ABBONAMENTI MUSEI TORINO","10147",5,9,46,44,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10080",2,0,6,53,"0"
49,"ABBONAMENTI MUSEI TORINO","12038",0,6,0,29,"0"
28,"OFFERTA CONVENZIONE 28€","10088",2,2,4,18,"0"
44,"ABBONAMENTI MUSEI TORINO","10041",0,1,0,52,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10138",6,5,17,80,"0"
49,"ABBONAMENTI MUSEI TORINO","12042",0,0,0,29,"1"
44,"ABBONAMENTI MUSEI TORINO","10143",0,5,0,52,"0"
44,"ABBONAMENTI MUSEI TORINO","10143",2,7,31,54,"0"
44,"ABBONAMENTI MUSEI TORINO","10145",1,1,10,43,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10135",3,4,5,35,"0"
44,"ABBONAMENTI MUSEI TORINO","10099",0,5,0,63,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10146",1,3,5,67,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10121",0,1,0,66,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10139",4,0,4,72,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10093",4,12,47,68,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10010",0,3,0,65,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10124",7,6,20,35,"0"
44,"ABBONAMENTI MUSEI TORINO","10144",6,9,81,55,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10126",1,1,2,70,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10141",5,10,27,27,"1"
44,"ABBONAMENTI MUSEI TORINO","10034",5,0,28,53,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10134",0,9,0,63,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10129",8,3,67,68,"0"
44,"ABBONAMENTI MUSEI TORINO","22070",6,74,517,27,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10156",1,15,7,56,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10153",0,6,0,20,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10023",0,8,0,64,"0"
44,"ABBONAMENTI MUSEI TORINO","10036",1,8,14,51,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10042",0,3,0,23,"1"
30,"PASS 60 e VOUCHER OFFERTA 30€","10100",0,0,0,63,"1"
44,"ABBONAMENTI MUSEI TORINO","12039",2,9,13,37,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10095",3,11,6,68,"0"
44,"ABBONAMENTI MUSEI TORINO","10036",8,4,47,64,"0"
44,"ABBONAMENTI MUSEI TORINO","10062",2,9,13,58,"0"
30,"OFFERTA SU QUANTITATIVO 30€","12044",3,7,12,42,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10095",5,14,19,35,"0"
44,"ABBONAMENTI MUSEI TORINO","10098",1,1,17,58,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10139",0,7,0,29,"0"
44,"ABBONAMENTI MUSEI TORINO","10092",1,11,29,56,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","12038",1,4,2,58,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",0,6,0,51,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10048",7,11,90,78,"0"
44,"ABBONAMENTI MUSEI TORINO","10142",2,8,25,64,"0"
44,"ABBONAMENTI MUSEI TORINO","10024",3,2,10,52,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10127",2,1,6,38,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10098",2,24,23,69,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10123",7,9,66,66,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10093",4,8,32,52,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10127",0,4,0,73,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10127",1,4,8,75,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10153",0,4,0,12,"1"
44,"ABBONAMENTI MUSEI TORINO","10153",7,19,70,50,"0"
44,"ABBONAMENTI MUSEI TORINO","10095",2,5,12,63,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10078",0,6,0,55,"0"
44,"ABBONAMENTI MUSEI TORINO","10136",5,5,64,65,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10125",0,14,0,52,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10132",5,6,20,49,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10136",5,3,36,68,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",1,4,10,37,"0"
44,"ABBONAMENTI MUSEI TORINO","10071",2,4,26,62,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10146",2,1,14,45,"0"
28,"ABBONAMENTO RIDOTTO SCONTATO","10141",5,3,66,31,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10100",0,3,0,73,"1"
44,"ABBONAMENTI MUSEI TORINO","10023",1,9,1,34,"0"
49,"ABBONAMENTI MUSEI TORINO","10144",0,9,0,49,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10040",0,4,0,67,"0"
44,"ABBONAMENTI MUSEI TORINO","10036",1,1,4,34,"0"
44,"ABBONAMENTI MUSEI TORINO","10024",1,2,3,59,"0"
44,"ABBONAMENTI MUSEI TORINO","20030",3,19,25,46,"1"
30,"PASS 60 e VOUCHER OFFERTA 30€","10138",6,3,28,55,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10136",0,0,0,34,"1"
44,"ABBONAMENTI MUSEI TORINO","10138",5,11,47,38,"0"
44,"ABBONAMENTI MUSEI TORINO","10098",7,8,63,63,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10072",1,6,17,68,"0"
44,"ABBONAMENTI MUSEI TORINO","10093",4,0,26,43,"0"
49,"ABBONAMENTI MUSEI TORINO","10132",0,4,0,46,"0"
49,"ABBONAMENTI MUSEI TORINO","10020",0,2,0,52,"1"
44,"ABBONAMENTI MUSEI TORINO","10024",3,2,19,57,"0"
44,"ABBONAMENTI MUSEI TORINO","10129",0,4,0,39,"1"
44,"ABBONAMENTI MUSEI TORINO","10143",2,2,14,43,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10139",2,11,14,70,"0"
44,"ABBONAMENTI MUSEI TORINO","12040",2,0,4,52,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10123",0,4,0,21,"1"
49,"ABBONAMENTI MUSEI TORINO","10151",0,5,0,37,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10125",0,29,0,27,"1"
44,"OFFERTA SU QUANTITATIVO 44€","10040",2,12,26,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10125",7,7,73,64,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10145",3,15,37,79,"0"
44,"ABBONAMENTI MUSEI TORINO","10042",5,11,69,50,"0"
44,"ABBONAMENTI MUSEI TORINO","10139",8,11,110,29,"0"
49,"ABBONAMENTI MUSEI TORINO","10014",0,12,0,63,"0"
44,"ABBONAMENTI MUSEI TORINO","10078",2,13,17,59,"0"
44,"ABBONAMENTI MUSEI TORINO","10124",5,3,41,35,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10136",0,0,0,54,"1"
49,"ABBONAMENTI MUSEI TORINO","10078",5,9,30,35,"1"
10,"ABBONAMENTO RIDOTTO SCONTATO","12042",0,2,0,22,"0"
28,"OFFERTA CONVENZIONE 28€","10122",0,0,0,16,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10088",1,2,2,59,"0"
49,"ABBONAMENTI MUSEI TORINO","10136",0,9,0,35,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","12042",0,1,0,63,"0"
30,"PASS 60 e VOUCHER OFFERTA 30€","10152",6,3,22,39,"0"
44,"ABBONAMENTI MUSEI TORINO","10045",3,7,18,59,"0"
0,"ABBONAMENTO MUSEI OMAGGIO","10129",8,3,65,30,"0"
44,"ABBONAMENTI MUSEI TORINO","10129",6,3,32,40,"0"
44,"ABBONAMENTI MUSEI TORINO","10129",8,6,81,60,"0"
49,"ABBONAMENTI MUSEI TORINO","10040",0,16,0,58,"0"
44,"ABBONAMENTI MUSEI TORINO","10066",8,0,80,38,"0"
44,"ABBONAMENTI MUSEI TORINO","10133",1,3,2,51,"0"
44,"ABBONAMENTI MUSEI TORINO","10095",0,13,0,42,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10146",2,3,10,71,"0"
44,"ABBONAMENTI MUSEI TORINO","10048",1,1,6,42,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10098",4,4,44,80,"0"
44,"ABBONAMENTI MUSEI TORINO","12100",1,1,4,55,"1"
30,"OFFERTA SU QUANTITATIVO 30€","10121",5,14,33,45,"0"
44,"ABBONAMENTI MUSEI TORINO","12038",2,0,19,59,"1"
30,"OFFERTA SU QUANTITATIVO 30€","12045",0,6,0,58,"0"
28,"OFFERTA CONVENZIONE 28€","10098",0,2,0,15,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10125",2,1,7,65,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10045",1,9,9,70,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","12038",7,20,70,67,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10095",0,10,0,73,"0"
49,"ABBONAMENTI MUSEI TORINO","10133",0,2,0,39,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10122",0,7,0,67,"1"
44,"ABBONAMENTI MUSEI TORINO","10029",3,3,30,60,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10123",0,6,0,58,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10124",3,2,16,71,"1"
44,"ABBONAMENTI MUSEI TORINO","12069",4,26,84,54,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10151",1,2,2,20,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10022",4,4,9,58,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10151",3,1,7,74,"0"
44,"ABBONAMENTI MUSEI TORINO","10125",1,0,5,33,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10090",0,8,0,23,"1"
44,"ABBONAMENTI MUSEI TORINO","10095",0,6,0,35,"1"
44,"ABBONAMENTI MUSEI TORINO","10078",0,8,0,52,"1"
44,"ABBONAMENTI MUSEI TORINO","10154",1,2,3,44,"0"
44,"ABBONAMENTI MUSEI TORINO","10095",1,17,21,58,"0"
44,"ABBONAMENTI MUSEI TORINO","10137",1,8,2,34,"0"
44,"OFFERTA SU QUANTITATIVO 44€","12051",6,0,13,43,"0"
44,"ABBONAMENTI MUSEI TORINO","10142",4,4,30,48,"0"
44,"ABBONAMENTI MUSEI TORINO","10078",3,1,10,37,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10129",8,13,137,90,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10128",2,2,11,67,"0"
44,"ABBONAMENTI MUSEI TORINO","10141",6,7,44,60,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10124",5,2,20,67,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10040",1,7,8,44,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10126",1,13,5,38,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10091",0,2,0,53,"0"
49,"ABBONAMENTI MUSEI TORINO","15121",0,1,0,63,"1"
49,"ABBONAMENTI MUSEI TORINO","10147",7,17,61,51,"1"
44,"ABBONAMENTI MUSEI TORINO","10093",2,1,13,58,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10134",6,24,49,57,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10051",4,2,5,13,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10057",7,0,11,17,"1"
44,"ABBONAMENTI MUSEI TORINO","10057",7,0,12,53,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10139",0,9,0,23,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10022",3,0,15,74,"0"
44,"ABBONAMENTI MUSEI TORINO","10060",1,2,7,62,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10022",5,2,46,71,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10060",1,2,4,26,"0"
44,"ABBONAMENTI MUSEI TORINO","10093",5,2,51,44,"0"
49,"ABBONAMENTI MUSEI TORINO","10090",0,1,0,38,"1"
44,"ABBONAMENTI MUSEI TORINO","10043",1,3,7,32,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10141",8,8,67,69,"0"
49,"ABBONAMENTI MUSEI TORINO","10153",0,8,0,62,"1"
44,"ABBONAMENTI MUSEI TORINO","10098",6,4,64,54,"0"
49,"ABBONAMENTI MUSEI TORINO","10135",0,3,0,64,"0"
44,"ABBONAMENTI MUSEI TORINO","10086",3,15,71,57,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10138",7,13,61,27,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10138",2,6,5,23,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10099",2,16,16,72,"0"
44,"ABBONAMENTI MUSEI TORINO","10010",1,18,30,61,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10025",3,4,21,54,"0"
44,"ABBONAMENTI MUSEI TORINO","10155",2,6,28,38,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10100",4,11,41,71,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10078",3,15,49,68,"0"
44,"ABBONAMENTI MUSEI TORINO","10090",3,14,30,49,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10155",8,1,14,68,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10090",0,3,0,22,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","12025",0,6,0,67,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10045",1,0,5,63,"1"
30,"ABBONAMENTO MUSEI RIDOTTO","10020",0,2,0,63,"0"
28,"OFFERTA CONVENZIONE 28€","10042",2,0,4,19,"1"
44,"OFFERTA SU QUANTITATIVO 44€","10123",1,6,5,41,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10152",8,2,39,65,"0"
30,"OFFERTA SU QUANTITATIVO 30€","10088",3,5,19,50,"0"
44,"ABBONAMENTI MUSEI TORINO","14100",4,7,28,27,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10143",8,7,60,79,"0"
0,"ABBONAMENTO MUSEI BUONO","10100",2,3,6,28,"1"
44,"ABBONAMENTI MUSEI TORINO","13100",4,19,55,50,"0"
44,"ABBONAMENTI MUSEI TORINO","10144",0,6,0,51,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10144",1,12,11,61,"0"
49,"ABBONAMENTI MUSEI TORINO","10128",0,8,0,39,"0"
10,"ABBONAMENTO RIDOTTO SCONTATO","10135",1,3,2,20,"0"
49,"ABBONAMENTI MUSEI TORINO","10148",3,7,19,59,"1"
44,"ABBONAMENTI MUSEI TORINO","10093",1,10,17,27,"0"
44,"ABBONAMENTI MUSEI TORINO","10024",0,9,0,63,"1"
44,"OFFERTA SU QUANTITATIVO 44€","10143",7,2,19,65,"0"
44,"ABBONAMENTI MUSEI TORINO","10122",8,13,74,59,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10123",0,5,0,68,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10139",5,3,30,66,"0"
44,"ABBONAMENTI MUSEI TORINO","10153",0,9,0,32,"1"
28,"ABBONAMENTO RIDOTTO SCONTATO","10024",0,9,0,26,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10154",3,7,8,65,"0"
49,"ABBONAMENTI MUSEI TORINO","10099",0,0,0,50,"1"
28,"ABBONAMENTO MUSEI RIDOTTO","10134",1,8,4,75,"0"
44,"OFFERTA SU QUANTITATIVO 44€","10128",1,1,1,47,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10147",6,0,10,70,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10121",7,8,40,67,"0"
28,"ABBONAMENTO MUSEI RIDOTTO","10134",1,10,3,70,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10135",0,9,0,73,"0"
44,"ABBONAMENTI MUSEI TORINO","10098",3,13,51,64,"1"
44,"ABBONAMENTI MUSEI TORINO","10100",6,7,61,46,"0"
30,"ABBONAMENTO MUSEI RIDOTTO","10125",0,10,0,80,"0"
