"CutOff","Call Costs","Mail Costs","Call Revenues","Mail Revenues","ROI","Remaining budget"
0,-10725,-1608.75,87825.625,116204.375,204030,-7333.75
0.1,-8986,-1347.9,131876.25,155427.35,287303.6,-5333.9
0.2,-7313,-1096.95,161047.875,180023.425,341071.3,-3409.95
0.3,-5918,-887.7,174253,189471.3,363724.3,-1805.7
0.4,-4705,-705.75,176530,188529.25,365059.25,-410.75
0.5,-3579,-536.85,172206.625,181251.275,353457.9,884.15
0.6,-2576,-386.4,162066,168511.6,330577.6,2037.6
0.7,-1746,-261.9,146721.75,151052.85,297774.6,2992.1
0.8,-1034,-155.1,128250.5,130795.4,259045.9,3810.9
0.9,-464,-69.6,109635.125,110770.025,220405.15,4466.4
1,0,0,92010,92010,184020,5000
